Company,Open,High,Low,Price,Chng,% Chng,Volume (lacs),Turnover (crs.),52w H,52w L,365 d % chng,30 d % chng,52w Range
ADANIPORTS,750.0,766.0,713.25,715.0,-47.45,-6.22,1.666422112838031,1.9850900255107877,901.0,384.4,79.22,-4.65,516.6
ASIANPAINT,3101.0,3167.35,3091.0,,-6.25,-0.2,1.2307853277785357,1.9138726489079698,,,45.66,5.66,
AXISBANK,669.0,674.9,660.45,661.0,-18.9,-2.78,1.7298594953106088,2.0188178593196615,866.9,568.4,10.19,-21.49,298.5
BAJAJ-AUTO,3370.0,3383.5,3320.0,,-56.7,-1.67,0.9107311846270448,1.7492084543037922,,,9.3,-12.05,
BAJAJFINSV,17200.0,17237.2,16610.0,,-684.85,-3.94,0.9107311846270448,1.9959526553639078,,,91.38,-9.1,
BAJFINANCE,7021.0,7047.9,6775.0,,-345.8,-4.85,1.3569278290048223,,,,44.57,-13.69,
BHARTIARTL,763.0,763.0,733.1,735.85,-29.3,-3.83,1.7443762059176087,2.0441643020777884,781.8,454.11,58.55,5.7,327.68999999999994
BPCL,397.15,397.2,375.0,377.4,-22.7,-5.67,1.7258680610154418,1.9390362657795122,503.0,357.0,-1.22,-12.45,146.0
BRITANNIA,3560.0,3635.1,3533.95,,-6.8,-0.19,0.9376314707695274,1.774876881368927,,,0.3,-3.42,
CIPLA,892.0,976.05,890.65,965.0,65.05,7.23,1.7885534106578287,,,726.5,31.89,6.34,
COALINDIA,157.75,159.4,155.35,155.9,-2.65,-1.67,1.7546876093462842,1.8291244935598434,203.8,123.25,25.78,-10.94,80.55000000000001
DIVISLAB,4770.0,5077.7,4756.75,,140.2,2.92,1.3392046777475282,2.035310590401824,,,42.39,-1.57,
DRREDDY,4580.0,4820.0,4576.15,,158.4,3.45,1.2416433119588495,1.9788407776963293,,,-1.17,1.8,
EICHERMOT,2495.0,2506.1,2421.5,,-79.65,-3.16,1.0576045302445176,1.779022055969755,,,-5.95,-5.77,
GRASIM,1757.3,1757.85,1679.0,,-80.95,-4.58,1.1434933778431136,1.7679057725783787,,840.05,99.95,-3.08,
HCLTECH,1120.0,1126.0,1103.3,,-13.15,-1.17,1.4203413946574412,1.8732828067063496,,814.35,34.79,-4.73,
HDFC,2820.35,2856.0,2723.0,,-122.75,-4.28,1.5133296867843007,2.0584706260136274,,,25.27,-5.72,
HDFCBANK,1500.0,1506.7,1485.0,,-36.45,-2.39,1.712819172151171,,,,6.18,-9.88,
HDFCLIFE,685.0,689.0,667.1,669.75,-19.05,-2.77,1.4234584292294978,1.7961678452529066,775.65,617.4,0.7,-2.94,158.25
HEROMOTOCO,2580.0,2589.7,2505.15,,-67.9,-2.62,1.1185827227317622,1.8188904917203659,,,-16.02,-6.43,
HINDALCO,441.8,442.7,414.7,417.7,-29.35,-6.57,1.7927073118338344,2.0082623307567733,551.85,220.35,86.93,-14.06,331.5
